index,type_l,ville,arr,n_pieces,n_chambres,surface_m2,prix,prix_m2
777,appartement,Paris,20,3.0,2.0,56.0,595000.0,10625.0
778,appartement,Paris,11,2.0,1.0,33.0,435000.0,13181.0
779,appartement,Paris,3,2.0,0.0,40.71,490000.0,12036.0
780,appartement,Paris,15,4.0,0.0,90.69,1318000.0,14533.0
781,appartement,Paris,3,2.0,1.0,80.05,1050000.0,13116.0
782,appartement,Paris,18,1.0,1.0,17.53,243800.0,13907.0
783,appartement,Paris,3,1.0,1.0,24.0,355000.0,14791.0
784,appartement,Paris,18,2.0,1.0,40.0,470000.0,11750.0
785,appartement,Paris,18,2.0,1.0,35.0,420000.0,12000.0
786,appartement,Paris,18,2.0,1.0,40.0,499000.0,12475.0
787,appartement,Paris,18,2.0,1.0,44.18,490000.0,11090.0
